Model,Accuracy,Precision,Recall,Macro F1
BiGRU,0.9095,0.8702098381620864,0.8499877441348086,0.8580499120897302
GRU,0.9155,0.8696518380873727,0.8421713329362785,0.8517418355470198
TF-IDF + Logistic Regression,0.8295,0.8512987559631777,0.6793813905368178,0.726827152560184
Simple RNN,0.378,0.22506818552089813,0.22774295995577484,0.21814129044301248
LSTM,0.349,0.20982568798533321,0.2547606794082806,0.14996153031457674
